ourse Code	Course Name	Credit
EEE4433	Power Electronics	3
EEE4434	Power Electronics Lab	1
EEE4467	Power System Protection	3
EEE4468	Power System Protection Lab	1
EEE4471	Power System Operation and Control	3
ELL0099	Remedial English	0
ENG103	Fundamentals of English -II	3
ENG2101	Elizabethan and Jacobean Drama	3
ENG2102	Writing about Literature	3
ENG2103	Morphology & Syntax	3
ENG2201	Sociolinguistics	3
ENG2202	Restoration and Eighteenth Century Literature	3
ENG2203	Literary Criticism (Sidney to Leavis)	3
ENG2204	Romantic Poetry	3
ENG2205	Semantics and Pragmatics	3
ENG2206	American Literature	3
ENG2820	English for Professional Purposes	3
ENG2822	English in Media	3
ENG3101	Victorian Literature	3
ENG3102	Psycholinguistics	3
ENG3103	Ancient Greek Literature	3
ENG3108	Cinema and Literature	3
ENG3201	American Literature II	3
ENG3202	Modernism in Literature	3
ENG3203	Theories of Language Acquisition	3
ENG3204	Critical Theory	3
ENG3205	Postcolonial Theories and Literature	3
ENG3212	Methodology of English Language Teaching	3
ENG4101	Research Methodology	3
ENG4107	Syllabus Design and Materials Development	3
ENG4108	Critical Literacy and Technology	3
ENG4111	Eastern Classics in Translation	3
ENG4112	Postmodernism in Literature	3
ENG4118	Clinical and Forensic Linguistics (Concentration Elective for Applied Linguistics and TESOL	3
ENG4201	Gender Theory and Literature	3
ENG4206	Teaching Practicum	3
ENG4208	Advanced Composition and Stylistics	3
ENG4298	Internship	3
ENG4299	Dissertation	3
ENG510	Critical Approaches to Syllabus Design	3
ENG524	Contemporary Literatures in English	3
ENG531	History of Ideas	3
ENG536	Technology and Learner Autonomy	3
ENG567	Digital Humanites	3
ENG568	Language, Power and Gender	3
ENG599	Dissertation	6
ESK1110	Study Skills	0
ESK1111	Healthy Life Skills	0
ESK1112	Social Skills	0
ESK1113	Professional Skills	0
FIN501	Financial Management	3
FIN601	Investment Theory & Portfolio	3
FIN602	Financial Institutions & Markets	3
FIN603	International Financial Management	3
FIN604	Corporate Finance	3
GED205	Introduction to Sustainable Development	3
GED2159	Professional Ethics	3
GED228	Organic Farming	3
GED467	Seminar on Grassroots Economic Development	3
GED502	Entrepreneurship	2
GEF1101	Academic English l	3
GEF1201	Academic English II	3
GEF1202	Advanced English Writing Skills	3
GEF1203	Advanced Bangla Writing Skills	3
GEF2101	Introduction to Data and Statistics	3
HRM501	Human Resource Management	3
HRM601	Manpower Planning & Personnel Policy	3
HRM602	Training & Development	3
HRM603	Compensation Management	3
HRM604	Performance Management	3
HUM2102	Foreign Language : German I	3
HUM2103	Foreign Language: Chinese	3
HUM2106	History of Bangla Literature	3
HUM2109	Introduction to Drama	3
HUM2111	Introduction to Philosophy I	3
HUM2112	Introduction to Photography	3
HUM2114	World Art and Architecture	3
HUM2115	World Civilization	3
HUM2201	Film History	3
HUM2204	History of Modern South Asia	3
HUM2210	Logic	3
HUM2214	Qazi Nazrul Islam: Life and Works	3
HUM2215	Rabindranath Tagore: Life and Works	3
HUM3101	Aesthetic of Film	3
HUM3206	South Asian Art Architecture	3
HUM4108	Introduction to Animation	3
MAT0099	Remedial Math	0
MAT1101	Differential and Integral Calculus	3
MAT1103	Calculus and Differential Equation	3
MAT1201	Co-ordinate Geometry and Linear Algebra	3
MAT1203	Coordinate Geometry and Complex Variables	3
MAT2101	Differential Equations and Numerical Analysis	3
MAT2103	Liner Algebra and Numerical Analysis	3
MBA511	Financial Accounting	3
MBA512	Management & Organization	3
MBA513	Analytical Techniques	3
MBA514	Micro Economics	3
MBA515	Macro Economics	3
MBA516	Management Accounting	3
MBA517	Legal Issues in Business	3
MBA518	Communication Workshop	2
MBA519	IT Workshop	2
MBA525	Organizational Behaviour	3
MBA526	Applied Business Statistics	3
MBA527	Business Communication	3
MBA700	Strategic Management	3
ME2201	Introductory Mechanical Engineering	3
MKT501	Marketing Management	3
MKT601	Consumer Behavior	3
MKT602	Integrated Marketing Communication	3
MKT603	Personal Selling & Sales Force Management	3
MKT605	Digital Marketing	3
MSJ1101	Communication Concepts and Theories	3
MSJ11203	Communication and Technology	3
MSJ11211	Mass Communication	3
MSJ11215	Convergence Communication II	3
MSJ11231	Visual Communication	3
MSJ11241	Interpersonal and Intercultural Communication	3
MSJ11301	Critical Thinking and Logic	3
MSJ11331	Cinema Studies	3
MSJ11336	TV Infotainment Production	3
MSJ11341	Strategic Public Relations	3
MSJ11343	Media Relations	3
MSJ11346	Speech Writing and Public Speaking	3
MSJ11350	History of Bangladesh Media	3
MSJ11351	Reading Media Text	3
MSJ11374	Introduction to Photography	3
MSJ11375	Film History	3
MSJ11376	Aesthetics of Film	3
MSJ11401	Development Communication	3
MSJ11402	Ethics in Media and Communication	3
MSJ11411	Media and the Law	3
MSJ11432	Fictional Narrative Production	3
MSJ11442	Public Relations Campaign	3
MSJ11456	Introduction to Animation	3
MSJ11498	Internship I	3
MSJ11499	Internship II	3
MSJ1201	Communication Research	3
MSJ2101	Communication and Technology	3
MSJ2102	Convergence Communication I	3
MSJ2201	Mass Communication	3
MSJ2202	Convergence Communication II	3
MSJ2231	Visual Communication	3
MSJ2232	Cinema Studies	3
MSJ2241	Interpersonal and Intercultural Comunication	3
MSJ2242	Strategic Public Relations	3
MSJ2251	Journalism and Society	3
MSJ2252	Digital Audience	3
MSJ2262	C4D Planning and Process	3
MSJ3142	Media Relations	3
MSJ3152	Online Journalism	3
